delta Vx Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf
 0.000318 13.954609  5.000000 81.289459 41.413307 28.848213 -33.408363  0.000843  0.000649 -0.000303      -nan 
 0.000351 13.954309  5.025000 71.451645 43.180412 29.738739 -32.687298  0.001190  0.000512 -0.000226      -nan 
 0.000371 13.953944  5.050000 62.754303 44.734459 30.176414 -31.956787  0.001447  0.000394 -0.000164      -nan 
 0.000380 13.953515  5.075000 55.090607 46.100105 30.212257 -31.223923  0.001629  0.000294 -0.000115      -nan 
 0.000380 13.953028  5.100000 48.355057 47.299698 29.926498 -30.497644  0.001749  0.000211 -0.000077      -nan 
 0.000373 13.952484  5.125000 42.436279 48.353302 29.361176 -29.784218  0.001817  0.000142 -0.000049      -nan 
 0.000361 13.951891  5.150000 37.234497 49.278572 28.565010 -29.089085  0.001844  0.000085 -0.000027      -nan 
 0.000346 13.951247  5.175000 32.668610 50.091019 27.599434 -28.416698  0.001837  0.000039 -0.000011      -nan 
 0.000327 13.950560  5.200000 28.661865 50.804359 26.513084 -27.770233  0.001804  0.000002 -0.000001      -nan 
 0.000307 13.949830  5.225000 25.137802 51.430725 25.305496 -27.151838  0.001750 -0.000028  0.000007      -nan 
 0.000285 13.949059  5.250000 22.045837 51.980537 24.020195 -26.563755  0.001681 -0.000051  0.000011      -nan 
 0.000262 13.948249  5.275000 19.320511 52.463165 22.662994 -26.007307  0.001602 -0.000068  0.000013      -nan 
 0.000239 13.947403  5.300000 16.926254 52.886528 21.294662 -25.483742  0.001515 -0.000080  0.000013      -nan 
 0.000216 13.946523  5.325000 14.810852 53.257812 19.940117 -24.992996  0.001423 -0.000088  0.000012      -nan 
 0.000194 13.945610  5.350000 12.919739 53.583069 18.602768 -24.534508  0.001329 -0.000094  0.000010      -nan 
 0.000172 13.944667  5.375000 11.282272 53.867165 17.287888 -24.107670  0.001234 -0.000097  0.000008      -nan 
 0.000152 13.943695  5.400000  9.803345 54.115601 16.036194 -23.711748  0.001140 -0.000098  0.000005      -nan 
 0.000132 13.942698  5.425000  8.513672 54.331818 14.794769 -23.345186  0.001048 -0.000098  0.000002      -nan 
 0.000114 13.941675  5.450000  7.360504 54.519920 13.581749 -23.007563  0.000959 -0.000097 -0.000002      -nan 
 0.000097 13.940628  5.475000  6.331146 54.682861 12.412086 -22.698111  0.000874 -0.000094 -0.000005      -nan 
 0.000081 13.939561  5.500000  5.435669 54.823318 11.295471 -22.415743  0.000793 -0.000090 -0.000009      -nan 
 0.000065 13.938475  5.525000  4.633759 54.944206 10.237343 -22.159149  0.000716 -0.000085 -0.000012      -nan 
 0.000051 13.937370  5.550000  3.899078 55.047554  9.241219 -21.926928  0.000645 -0.000080 -0.000015      -nan 
 0.000039 13.936252  5.575000  3.272949 55.134827  8.308861 -21.717628  0.000579 -0.000076 -0.000019      -nan 
