delta Vx Vy Time Fyf MyfBuf Fyr MyrBuf YawR rYawBuf Beta BetaBuf Vy VyBuf
-0.116757 13.889617 -0.196348  3.850000 -6900.736816 1938.865601 -4715.119629 2399.173340 -0.426540 -0.482480 -0.011684 -18772.574219 -0.196348 -0.163842 
-0.115899 13.883051 -0.161740  3.875000 -6764.455566 1788.225708 -4790.031250 2288.319824 -0.433867 -0.496513 -0.012276 -17837.068359 -0.161740 -0.172882 
-0.114008 13.877655 -0.179571  3.900000 -6554.447754 1640.293457 -4836.233887 2176.023926 -0.439112 -0.508133 -0.012611 -16875.640625 -0.179571 -0.178689 
-0.111137 13.873707 -0.199159  3.925000 -6300.410645 1496.678467 -4867.260254 2062.960449 -0.442005 -0.516922 -0.012660 -15900.080078 -0.199159 -0.180609 
-0.107272 13.871385 -0.173636  3.950000 -6011.394531 1358.372803 -4900.139648 1949.467651 -0.442257 -0.522605 -0.012449 -14919.886719 -0.173636 -0.178647 
-0.102525 13.870808 -0.214010  3.975000 -5693.598633 1226.193726 -4932.903809 1835.480591 -0.439438 -0.524788 -0.012008 -13942.147461 -0.214010 -0.173257 
-0.096998 13.871971 -0.211356  4.000000 -5364.763184 1100.838135 -4958.379395 1721.004028 -0.433432 -0.523163 -0.011398 -12971.806641 -0.211356 -0.165062 
-0.090873 13.874816 -0.177361  4.025000 -4998.013672 982.602722 -4970.285645 1606.174194 -0.424086 -0.517706 -0.010661 -12012.205078 -0.177361 -0.154887 
-0.084389 13.879176 -0.161325  4.050000 -4621.333984 872.339172 -4964.026367 1491.315063 -0.411339 -0.508178 -0.009838 -11065.705078 -0.161325 -0.143160 
-0.077810 13.884789 -0.154027  4.075000 -4224.445312 770.308716 -4935.854492 1376.837036 -0.395298 -0.494698 -0.008980 -10134.272461 -0.154027 -0.130635 
-0.071245 13.891312 -0.156181  4.100000 -3844.400391 676.936584 -4881.310059 1263.269043 -0.376195 -0.477320 -0.008136 -9219.872070 -0.156181 -0.117863 
-0.064927 13.898338 -0.095063  4.125000 -3474.405273 591.887268 -4781.483887 1151.193970 -0.354582 -0.456559 -0.007359 -8324.674805 -0.095063 -0.105750 
-0.058882 13.905497 -0.132671  4.150000 -3131.227051 514.943787 -4647.282715 1041.633423 -0.331064 -0.433095 -0.006673 -7451.057617 -0.132671 -0.094679 
-0.053156 13.912415 -0.082410  4.175000 -2823.401367 445.548279 -4482.546387 935.339417 -0.306288 -0.407647 -0.006122 -6601.591309 -0.082410 -0.085200 
-0.047885 13.918776 -0.060017  4.200000 -2532.781250 382.966644 -4288.476562 832.947815 -0.280811 -0.380984 -0.005726 -5778.916504 -0.060017 -0.077818 
